Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
get Jf,V N,V N,V N,V N,{'blender.srcml.xml_identifiers'},C++
get Msg Send Super Ty,V NM NM NM N,V N N NM N,V NM NM NM N,V N V N N,{'swift.srcml.xml_identifiers'},C++
get Red Adjust 2,V NM N D,V NM N N,V NM N D,V N V D,{'ogre.srcml.xml_identifiers'},C++
Get Related View Data Row Double,V NM NM NM N NM,V NM N N N N,V NM NM NM NM N,V N N N N NM,{'grpc.srcml.xml_identifiers'},C++
get Top Border Size,V NM NM N,V NM N N,V NM NM N,V N N N,{'ogre.srcml.xml_identifiers'},C++
get Working Directory,V NM N,V NM N,V NM N,V N N,{'irrlicht.srcml.xml_identifiers'},C++
Get XCR 0,V N D,V N N,V N D,V N D,{'Telegram.srcml.xml_identifiers'},C++
global Scope,NM N,NM N,NM N,NM N,{'kdevelop.srcml.xml_identifiers'},C++
grpc chttp2 mark stream writable,PRE PRE V N NM,N N N N NM,V NM NM NM NM N,V N N N N,{'grpc.srcml.xml_identifiers'},C++
grpc json writer value string,PRE NM NM NM N,N N N N N,V NM NM NM N,V N N N N,{'grpc.srcml.xml_identifiers'},C++
grpc sock addr make wildcards,PRE NM N V NPL,N N N N N,V NM NM NM N,V N NM N NPL,{'grpc.srcml.xml_identifiers'},C++
Handle If,V CJ,V N,V N,V P,{'ogre.srcml.xml_identifiers'},C++
has Composite Op,V NM N,V NM N,V NM N,V N N,{'calligra.srcml.xml_identifiers'},C++
has View Relative Texture Coordinate Generation,V NM NM NM NM N,V N NM N NM N,V NM NM NM NM N,V N NM N NM N,{'ogre.srcml.xml_identifiers'},C++
in SCC,P N,P N,P N,P N,{'swift.srcml.xml_identifiers'},C++
inflation Leg NPV,NM NM N,N N N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
Initialize Dual Graph,V NM N,V NM N,V NM N,V NM N,{'bullet3.srcml.xml_identifiers'},C++
is Generic Type Disambiguating Token,V NM NM NM N,V NM N N V,V NM NM NM N,V NM N N N,{'swift.srcml.xml_identifiers'},C++
is Stdlib Module,V NM N,V N N,V NM N,V N N,{'swift.srcml.xml_identifiers'},C++
is Sum Supported,V N V,V N V,V NM N,V N N,{'opencv.srcml.xml_identifiers'},C++
is Valid Trailing Closure,V NM NM N,V NM N N,V NM NM N,V N N N,{'swift.srcml.xml_identifiers'},C++
last Gradient,NM N,V N,DT N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
lower Boundary Factor,NM NM N,V N N,V NM N,NM N N,{'QuantLib.srcml.xml_identifiers'},C++
max Draw Buffers,NM NM NPL,V N,V NM N,V V NPL,{'openFrameworks.srcml.xml_identifiers'},C++
maximize All,V DT,V N,V DT,V N,{'openFrameworks.srcml.xml_identifiers'},C++
node find output by name,N V N P N,V N P N,NM NM NM NM N,N V N P N,{'blender.srcml.xml_identifiers'},C++
notify Touch Down,V NM N,V N P,V V N,V N N,{'openFrameworks.srcml.xml_identifiers'},C++
of To Binary,PRE P N,POSSEFAILURE,P NM N,P P N,{'openFrameworks.srcml.xml_identifiers'},C++
optimize Identity Cast Composition,V NM NM N,V N N N,V NM NM N,V N V N,{'swift.srcml.xml_identifiers'},C++
presentation Start From First,N V P NM,V P N,NM NM NM N,N N P N,{'calligra.srcml.xml_identifiers'},C++
process Helper,NM N,V N,V N,V N,{'QuantLib.srcml.xml_identifiers'},C++
read Element Text Span,V NM NM N,V N N N,V NM NM N,V N V N,{'calligra.srcml.xml_identifiers'},C++
read Pass,V N,V N,V N,V N,{'irrlicht.srcml.xml_identifiers'},C++
Read Text File,V NM N,V N N,V NM N,V V N,{'ogre.srcml.xml_identifiers'},C++
reapply Filter,V N,V N,V N,V N,{'calligra.srcml.xml_identifiers'},C++
register With Volatility Spread,V P NM N,V P N N,V P NM N,V P N N,{'QuantLib.srcml.xml_identifiers'},C++
remap Nearest Neighbor,V NM N,POSSEFAILURE,V NM N,V N N,{'opencv.srcml.xml_identifiers'},C++
remove Imported Parent Contexts,V NM NM NPL,V NM N N,V NM NM N,V N N N,{'kdevelop.srcml.xml_identifiers'},C++
Render Text,V N,V N,V N,N V,{'bullet3.srcml.xml_identifiers'},C++
repress Ref At Loc,V N P N,V N P N,V N P N,V N P N,{'swift.srcml.xml_identifiers'},C++
resize Linear Open CV,V NM NM N,V NM NM N,V NM NM N,V N N N,{'opencv.srcml.xml_identifiers'},C++
resize Nearest Neighbor,V NM N,POSSEFAILURE,V NM N,V N N,{'opencv.srcml.xml_identifiers'},C++
rgb 2 rgb565,N P N,N NM N,V D N D,V D N,{'opencv.srcml.xml_identifiers'},C++
rgbx 2 bgrx,N P N,N NM N,V D N,V D N,{'opencv.srcml.xml_identifiers'},C++
sanitize Path,V N,V N,V N,V N,{'kdevelop.srcml.xml_identifiers'},C++
save As Quadratic Png,V P NM N,V P NM N,V P NM N,V P N N,{'calligra.srcml.xml_identifiers'},C++
send Serial Config,V NM N,V NM N,V NM N,V NM N,{'openFrameworks.srcml.xml_identifiers'},C++
session Config,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
set Custom Uniform 1 f,V NM N D NM,V NM NM NM N,V NM NM D N,V N N D N,{'openFrameworks.srcml.xml_identifiers'},C++
set Destructor Callback,V NM N,V N N,V NM N,V N N,{'opencv.srcml.xml_identifiers'},C++
set Display Index,V NM N,V N N,V NM N,V V N,{'ogre.srcml.xml_identifiers'},C++
set Frame Pen,V NM N,V N N,V NM N,V N N,{'calligra.srcml.xml_identifiers'},C++
set Invert,V N,V N,V N,V N,{'antlr4.srcml.xml_identifiers'},C++
set Layer Texture Name,V NM NM N,V N N N,V NM NM N,V N N N,{'ogre.srcml.xml_identifiers'},C++
set Tiling,V N,V N,V N,V N,{'ogre.srcml.xml_identifiers'},C++
setup Bounding Box Vertices,V NM NM NPL,N N N N,V NM NM N,N V N NPL,{'ogre.srcml.xml_identifiers'},C++
sha256 hash,NM N,N V,V D N,V NM,{'irrlicht.srcml.xml_identifiers'},C++
shader data to shader globals,NM NPL P NM NPL,POSSEFAILURE,NM NM NM NM N,V NPL P V NPL,{'blender.srcml.xml_identifiers'},C++
status Icon,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
str array len,NM NM N,N N N,V NM N,V N N,{'bullet3.srcml.xml_identifiers'},C++
Stroke Attribute alpha get,NM NM N V,N N N V,V NM NM N,N N N V,{'blender.srcml.xml_identifiers'},C++
TEGRA MORPH INIT,PRE N V,V N,V NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
tessellate To Mesh,V P N,V P N,V P N,V P V,{'openFrameworks.srcml.xml_identifiers'},C++
tool View Position,NM NM N,V N N,V NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
transform Path,V N,V N,V N,V N,{'QuantLib.srcml.xml_identifiers'},C++
two Factor Response,NM NM N,NM N N,NM NM N,D N N,{'kdevelop.srcml.xml_identifiers'},C++
unload Textures,V NPL,V N,V N,V NPL,{'openFrameworks.srcml.xml_identifiers'},C++
update Mouse Pos,V NM N,V N N,V NM N,V N N,{'calligra.srcml.xml_identifiers'},C++
V URL Encode,PRE N V,NM N V,PRE V N,N N N,{'bullet3.srcml.xml_identifiers'},C++
verifier get mapping,N V N,V N,NM N V,VM V N,{'grpc.srcml.xml_identifiers'},C++
visit SIL Argument,V NM N,V NM N,V NM N,V N N,{'swift.srcml.xml_identifiers'},C++
widget Destroyed,N V,N V,N P,N V,{'kdevelop.srcml.xml_identifiers'},C++
with Cms Leg Rule,P NM NM N,P N N N,P NM NM N,P N N N,{'QuantLib.srcml.xml_identifiers'},C++
with Market Rate Accuracy,P NM NM N,P N N N,P NM NM N,P N N N,{'QuantLib.srcml.xml_identifiers'},C++
with Rate Bound,P NM N,P N N,NM N P,P N V,{'QuantLib.srcml.xml_identifiers'},C++
worker Thread Wait,NM N V,N N V,NM NM N,N N V,{'bullet3.srcml.xml_identifiers'},C++
world To Screen,N P N,POSSEFAILURE,NM NM N,N P N,{'openFrameworks.srcml.xml_identifiers'},C++
write Node Materials,V NM NPL,V N N,V NM N,V N NPL,{'irrlicht.srcml.xml_identifiers'},C++
x Tilt,NM N,N V,PRE V,N N,{'calligra.srcml.xml_identifiers'},C++
active Tool Id,NM NM N,NM N N,NM NM N,NM N N,{'calligra.srcml.xml_identifiers'},C++
aead crypter seal,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
anchor Name,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
angle In Radian,N P N,V P N,NM NM N,N P N,{'calligra.srcml.xml_identifiers'},C++
attrs,NPL,N,N,NPL,{'calligra.srcml.xml_identifiers'},C++
base transform,NM N,N V,NM N,N V,{'bullet3.srcml.xml_identifiers'},C++
best Style,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
bind Matrix,NM N,N N,NM N,V N,{'ogre.srcml.xml_identifiers'},C++
binormal type,NM N,N N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
byte Src,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C++
cam Rot Z,NM NM N,N N N,NM NM N,V N N,{'bullet3.srcml.xml_identifiers'},C++
cap Times,NM NPL,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
cb result,NM N,N N,NM N,P N,{'grpc.srcml.xml_identifiers'},C++
cell Cursor,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
Ch,N,N,N,N,{'grpc.srcml.xml_identifiers'},C++
check Next,V N,N NM,NM DT,V N,{'kdevelop.srcml.xml_identifiers'},C++
clang Can Ty,PRE NM N,N N N,NM NM N,N V N,{'swift.srcml.xml_identifiers'},C++
clip Dist Bug,NM NM N,V N N,NM NM N,V N N,{'ogre.srcml.xml_identifiers'},C++
cms Pricer,NM N,N N,NM N,V N,{'QuantLib.srcml.xml_identifiers'},C++
col Length Left,NM NM N,N N N,NM NM N,N N NM,{'bullet3.srcml.xml_identifiers'},C++
cone translation,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
control Points,NM NPL,N N,NM N,N NPL,{'calligra.srcml.xml_identifiers'},C++
coterminal Model,NM N,N N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
cp 1254,N D,N N,NM N,P D,{'calligra.srcml.xml_identifiers'},C++
current Charuco Corners,NM NM NPL,NM N N,NM NM N,NM N NPL,{'opencv.srcml.xml_identifiers'},C++
current Sequence,NM N,NM N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
DEPOT MESSAGE START,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
drift term,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
dst Type 1,NM N D,N N N,NM NM N,N N D,{'opencv.srcml.xml_identifiers'},C++
error Mark Type,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
event 0,N D,N N,NM N,N D,{'QuantLib.srcml.xml_identifiers'},C++
expect rows,NM NPL,N N,NM N,V NPL,{'opencv.srcml.xml_identifiers'},C++
extra Inhabitants Mask,NM NM N,NM N N,NM NM N,NM N N,{'swift.srcml.xml_identifiers'},C++
f Cos,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
f curve Found,NM N V,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
f m m,NM NM N,N NM N,NM NM NM,N N N,{'kdevelop.srcml.xml_identifiers'},C++
f Ptr Out,PRE NM N,POSSEFAILURE,NM NM N,N N VM,{'openFrameworks.srcml.xml_identifiers'},C++
fast Load Success,VM V N,V N N,NM NM N,NM N N,{'ogre.srcml.xml_identifiers'},C++
feature Iterator,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},C++
field Offset Vector,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
fixed Cam,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
fixed Leg Frequency,NM NM N,NM N N,NM NM N,NM N N,{'QuantLib.srcml.xml_identifiers'},C++
from Local Aabb Min,P NM NM N,P NM N N,NM NM NM N,P N N N,{'bullet3.srcml.xml_identifiers'},C++
future Active Doc,NM NM N,NM NM N,NM NM N,NM NM N,{'kdevelop.srcml.xml_identifiers'},C++
have Mask,V N,V N,NM N,V N,{'opencv.srcml.xml_identifiers'},C++
img stub,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
img Type,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
inst Results,NM NPL,NM N,NM N,N NPL,{'swift.srcml.xml_identifiers'},C++
inv Flight K 2,NM NM N D,N N NM N,NM NM NM N,V N N D,{'QuantLib.srcml.xml_identifiers'},C++
inverted Direction,NM N,NM N,NM N,NM N,{'ogre.srcml.xml_identifiers'},C++
is Node A Left Child Leaf,V N DT NM NM N,POSSEFAILURE,NM NM NM NM NM N,V N N NM N N,{'bullet3.srcml.xml_identifiers'},C++
is Trained,V V,V V,NM N,V NM,{'opencv.srcml.xml_identifiers'},C++
items per second,NPL P N,N N N,NM NM N,NPL P N,{'grpc.srcml.xml_identifiers'},C++
joint Start,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
key Events Copy,NM NM N,NM N N,NM NM N,NM NPL V,{'openFrameworks.srcml.xml_identifiers'},C++
kinects Copy,NM N,N N,NM N,NPL V,{'openFrameworks.srcml.xml_identifiers'},C++
last Token Was Delete Or Default,NM N V N CJ N,V NM N N N N,DT NM NM NM NM N,NM N NM V CJ N,{'kdevelop.srcml.xml_identifiers'},C++
layer sizes,NM NPL,N N,NM N,N NPL,{'opencv.srcml.xml_identifiers'},C++
lhs Component,NM N,N N,NM N,V N,{'swift.srcml.xml_identifiers'},C++
line Y,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
link URL,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
lower tail,NM N,N N,NM N,NM N,{'calligra.srcml.xml_identifiers'},C++
mapped labels,NM NPL,N N,NM N,NM NPL,{'opencv.srcml.xml_identifiers'},C++
max basket,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
max input size,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
method index,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
mod Iface,NM N,NM N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
movie Media Handler,NM NM N,N N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
n repeats,NM NPL,N N,NM N,N NPL,{'opencv.srcml.xml_identifiers'},C++
nd Formula,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
new Sil Type,NM NM N,NM NM N,NM NM N,NM N N,{'swift.srcml.xml_identifiers'},C++
next Fragment Expression,NM NM N,NM N N,DT NM N,NM N N,{'kdevelop.srcml.xml_identifiers'},C++
noise 1,N D,N N,NM N,N D,{'ogre.srcml.xml_identifiers'},C++
num metadata,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
number Of Joysticks,N P NPL,N P N,NM NM N,N P NPL,{'irrlicht.srcml.xml_identifiers'},C++
numbering Path,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
obj Proj,NM N,N N,NM N,V N,{'swift.srcml.xml_identifiers'},C++
ori W,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
overriden Function It,NM NM N,N N N,NM NM PR,N N PR,{'kdevelop.srcml.xml_identifiers'},C++
PAI Arg,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
passphrase,N,N,N,N,{'openFrameworks.srcml.xml_identifiers'},C++
pd Sum,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
platform String,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
present Scaling,NM N,NM N,NM N,NM N,{'openFrameworks.srcml.xml_identifiers'},C++
prev num hooks,NM NM NPL,N N N,NM NM N,N N NPL,{'grpc.srcml.xml_identifiers'},C++
prev Signal Bar Count,NM NM NM N,N NM N N,NM NM NM N,V N N N,{'Telegram.srcml.xml_identifiers'},C++
prim Type,NM N,NM N,NM N,NM N,{'ogre.srcml.xml_identifiers'},C++
processing Level,NM N,N N,NM N,NM N,{'kdevelop.srcml.xml_identifiers'},C++
rectangle Index,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
REPL Module,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
request bytes,NM NPL,N N,NM N,N NPL,{'grpc.srcml.xml_identifiers'},C++
rt Stream Ptr,NM NM N,N N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},C++
running Log Average,NM NM N,NM N N,NM NM N,NM N N,{'QuantLib.srcml.xml_identifiers'},C++
s Tracking System Name,PRE NM NM N,N N N N,NM NM NM N,NPL NM N N,{'bullet3.srcml.xml_identifiers'},C++
simple Fn Ty,NM NM N,NM N N,NM NM N,NM N N,{'swift.srcml.xml_identifiers'},C++
sin rot w,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
source Ty,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
src File Info,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
src start idx,NM NM N,N N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
ssl creds,NM NPL,N N,NM N,N NPL,{'grpc.srcml.xml_identifiers'},C++
static Rect,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
step Size,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
step x,NM N,N N,NM N,V N,{'opencv.srcml.xml_identifiers'},C++
str args,NM NPL,N N,NM N,N NPL,{'kdevelop.srcml.xml_identifiers'},C++
sub start,NM N,NM N,N N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
supported Style,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
tab Overlap,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
tagged Resources,NM NPL,NM N,NM N,NM N,{'calligra.srcml.xml_identifiers'},C++
temp Attrs,NM NPL,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
tranched Loss After,NM N P,POSSEFAILURE,NM NM N,N N P,{'QuantLib.srcml.xml_identifiers'},C++
transform Unique Id,NM NM N,N NM N,NM NM N,V NM N,{'ogre.srcml.xml_identifiers'},C++
ui Index,NM N,N N,NM N,P N,{'ogre.srcml.xml_identifiers'},C++
use mat dirs,V NM NPL,V NM N,NM NM N,V N N,{'irrlicht.srcml.xml_identifiers'},C++
Val Size,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
value X,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
win Error,NM N,N N,NM N,V N,{'ogre.srcml.xml_identifiers'},C++
x 2,N D,NM N,NM N,N D,{'bullet3.srcml.xml_identifiers'},C++
a pos,PRE N,POSSEFAILURE,NM N,DT N,{'kdevelop.srcml.xml_identifiers'},C++
abs deadline n sec value,NM NM NM NM N,N N N NM N,NM NM NM NM N,NM N N N N,{'grpc.srcml.xml_identifiers'},C++
all Factors,DT NPL,DT N,DT N,DT NPL,{'QuantLib.srcml.xml_identifiers'},C++
alternative Cache Name,NM NM N,NM N N,NM NM N,NM N N,{'irrlicht.srcml.xml_identifiers'},C++
ambient coefficient,NM N,NM N,NM N,NM N,{'bullet3.srcml.xml_identifiers'},C++
animations Data,NM NPL,N N,NM N,NPL N,{'calligra.srcml.xml_identifiers'},C++
Array Struct Value,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
b d c,NM NM N,N NM N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
b Flip Horizontally,PRE V VM,POSSEFAILURE,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
b Multi Fullscreen,PRE NM N,N N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
bibliography Type,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
block Nr,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
bone Positions,NM NPL,NM N,NM N,N NPL,{'ogre.srcml.xml_identifiers'},C++
Bridged Value Fun Arg,NM NM NM N,N N N N,NM NM NM N,N N N N,{'swift.srcml.xml_identifiers'},C++
brush Hatch,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
buf Num,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
built Url,NM N,NM N,NM N,NM N,{'kdevelop.srcml.xml_identifiers'},C++
byte Array View,NM NM N,N N N,NM NM N,V N N,{'kdevelop.srcml.xml_identifiers'},C++
c problem,NM N,NM N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
cache file,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
color Map,NM N,NM N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
connection state,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
current Root,NM N,NM N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
D mat,NM N,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
default Auto Entry,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
default mat x,NM NM N,N NM N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
desktop Size,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
discount Factor,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
do Caps,V NPL,V N,NM N,V N,{'QuantLib.srcml.xml_identifiers'},C++
docking Area,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
driver Type Name,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
dst map 2,NM N D,N N N,NM NM N,N N D,{'opencv.srcml.xml_identifiers'},C++
Edit Length,NM N,N N,NM N,V N,{'swift.srcml.xml_identifiers'},C++
End Snapshot,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
EPS,N,N,N,NPL,{'QuantLib.srcml.xml_identifiers'},C++
err ret,NM N,V N,NM N,V N,{'Telegram.srcml.xml_identifiers'},C++
existing symlink,NM N,NM N,NM N,NM N,{'grpc.srcml.xml_identifiers'},C++
f Tolerance,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
folder Names,NM NPL,N N,NM N,N NPL,{'openFrameworks.srcml.xml_identifiers'},C++
force Direct,V N,V NM,NM N,V N,{'kdevelop.srcml.xml_identifiers'},C++
Func,N,N,N,N,{'opencv.srcml.xml_identifiers'},C++
gauss Lobatto Eps,NM NM N,N N N,NM NM N,V N N,{'QuantLib.srcml.xml_identifiers'},C++
grouping,N,N,N,NM,{'grpc.srcml.xml_identifiers'},C++
handle Pos,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
html File,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
i var Initializer,NM NM N,NM N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
in,N,POSSEFAILURE,N,N,{'bullet3.srcml.xml_identifiers'},C++
index Tensor,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
inner Angle,NM N,NM N,NM N,NM N,{'ogre.srcml.xml_identifiers'},C++
institution,N,N,N,N,{'calligra.srcml.xml_identifiers'},C++
int Hex String,NM NM N,N NM N,NM NM N,V N N,{'openFrameworks.srcml.xml_identifiers'},C++
is Friend,V N,V N,NM N,V N,{'kdevelop.srcml.xml_identifiers'},C++
is V,V NM,N N,NM N,V N,{'swift.srcml.xml_identifiers'},C++
is Vaild,V NM,V N,NM N,V N,{'ogre.srcml.xml_identifiers'},C++
key,N,N,N,NM,{'kdevelop.srcml.xml_identifiers'},C++
key Frame 2,NM N D,NM N N,NM NM N,NM N D,{'ogre.srcml.xml_identifiers'},C++
labels,NPL,N,N,NPL,{'opencv.srcml.xml_identifiers'},C++
len r,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
light Dim,NM N,N NM,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
literal Bucket,NM N,NM N,NM N,NM N,{'swift.srcml.xml_identifiers'},C++
locking,V,N,N,NM,{'grpc.srcml.xml_identifiers'},C++
max scale f,NM NM N,N N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
Min Error,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
mkt Factors,NM NPL,N N,NM N,N NPL,{'QuantLib.srcml.xml_identifiers'},C++
n Shininess,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
next Line,NM N,NM N,DT N,P N,{'kdevelop.srcml.xml_identifiers'},C++
num Active Contexts,NM NM NPL,N NM N,NM NM N,N NM NPL,{'bullet3.srcml.xml_identifiers'},C++
num Factors,NM NPL,N N,NM N,N NPL,{'QuantLib.srcml.xml_identifiers'},C++
num Files,NM NPL,N N,NM N,N NPL,{'openFrameworks.srcml.xml_identifiers'},C++
operator Method Decls,NM NM NPL,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
output array,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
palette size,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
parent field,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
parsing,V,N,N,NM,{'calligra.srcml.xml_identifiers'},C++
pem key,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
pen Loaded,N V,N V,NM N,N NM,{'calligra.srcml.xml_identifiers'},C++
previous Index,NM N,NM N,NM N,NM N,{'calligra.srcml.xml_identifiers'},C++
previous Initial Value,NM NM N,NM NM N,NM NM N,NM NM N,{'QuantLib.srcml.xml_identifiers'},C++
previous Is Valid,N V NM,V NM,NM NM N,NM N N,{'calligra.srcml.xml_identifiers'},C++
print label flag,NM NM N,N N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
progressive,N,NM,N,NM,{'blender.srcml.xml_identifiers'},C++
project file,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
projects Dir,NM N,N N,NM N,NPL N,{'kdevelop.srcml.xml_identifiers'},C++
r,N,N,N,N,{'kdevelop.srcml.xml_identifiers'},C++
random Walk,NM N,NM N,NM N,NM V,{'QuantLib.srcml.xml_identifiers'},C++
rate Pointer,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
read Operation,NM N,N N,NM N,V N,{'blender.srcml.xml_identifiers'},C++
Reference Range,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
relative contrast,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
res Width,NM N,N N,NM N,V N,{'openFrameworks.srcml.xml_identifiers'},C++
Reserve Fn,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
return Path,NM N,V N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
rot axis,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
rotation Per Second,N P N,N N N,NM NM N,N P N,{'irrlicht.srcml.xml_identifiers'},C++
scene Node Type Name,NM NM NM N,N N N N,NM NM NM N,N N N N,{'irrlicht.srcml.xml_identifiers'},C++
separator Color,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
server list,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
