Identifier Name and Type,Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
SinglePeriodTimeline,Single Period Timeline,NM NM N,NM N N,NM NM N,NM N N,{'Telegram.srcml.xml_identifiers'},Java
SINH,SINH,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
SKEditorConsumer,SK Editor Consumer,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
SlackClient,Slack Client,NM N,NM N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
StochasticProcess,Stochastic Process,NM N,NM N,NM N,NM V,{'QuantLib.srcml.xml_identifiers'},C++
Store,Store,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
StrictnessSelector,Strictness Selector,NM N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
StubbingComparator,Stubbing Comparator,NM N,N N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
SUTime,SU Time,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
SuiteMethod,Suite Method,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
SuiteMethodBuilder,Suite Method Builder,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
TaskImpl,Task Impl,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
TempCompMask,Temp Comp Mask,NM NM N,N N N,NM NM N,N N N,{'gimp.srcml.xml_identifiers.idents'},C++
TemperatureCauchy1D,Temperature Cauchy 1 D,NM N D NM,N N NM N,NM NM NM N,N N D N,{'QuantLib.srcml.xml_identifiers'},C++
TemplatePreviewIconData,Template Preview Icon Data,NM NM NM NPL,N N N N,NM NM NM N,N N N N,{'kdevelop.srcml.xml_identifiers'},C++
TemporaryFolder,Temporary Folder,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
TextPaintView ,Text Paint View,NM NM N,N N N,NM NM N,V N N,{'Telegram.srcml.xml_identifiers'},Java
TileParameterDefaultTypeInternal,Tile Parameter Default Type Internal,NM NM NM N NM,N N N N NM,NM NM NM NM N,N N N N N,{'opencv.srcml.xml_identifiers'},C++
TimeSignalCommand,Time Signal Command,NM NM N,N NM N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Timelapser,Timelapser,N,N,N,N,{'opencv.srcml.xml_identifiers'},C++
ToStringWalker,To String Walker,P N N,P N N,NM NM N,P N N,{'grpc.srcml.xml_identifiers'},C++
TokenPropertyRef,Token Property Ref,NM NM N,NM N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},Java
TokenPropertyRef_channel,Token Property Ref channel,NM NM NM N,NM N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
TokenTypeDecl,Token Type Decl,NM NM N,NM N N,NM NM N,NM N N,{'antlr4.srcml.xml_identifiers'},Java
TopNGramRecord,Top NGram Record,NM NM N,NM N N,NM NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
TransportShardRefreshAction,Transport Shard Refresh Action,NM NM NM N,N N N N,NM NM NM N,N N N N,{'elasticsearch.srcml.xml_identifiers'},Java
TreeElement,Tree Element,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
TreePostScriptGenerator,Tree Post Script Generator,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
TsurgeonParseException,Tsurgeon Parse Exception,NM NM N,N N N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
TupleLValueEmitter,Tuple LValue Emitter,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
User2InternalIndex,User 2 Internal Index,N P NM N,N NM NM N,NM NM NM N,N D N N,{'bullet3.srcml.xml_identifiers'},C++
Value,Value,N,N,N,N,{'Telegram.srcml.xml_identifiers'},C++
ValueLabel,Value Label,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
VanillaForwardPayoff,Vanilla Forward Payoff,NM NM N,NM NM N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
VerificationModeFactory,Verification Mode Factory,NM NM N,N N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
VertexPosition,Vertex Position,NM N,N N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C++
VideoCapture_DShow,Video Capture DShow,NM NM N,N N N,NM NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
VoronoiFractureDemo,Voronoi Fracture Demo,NM NM N,N N N,NM NM N,N N N,{'bullet3.srcml.xml_identifiers'},C++
WarningFailureException ,Warning Failure Exception,NM NM N,NM N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
WebSocketListener,Web Socket Listener,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
WorkspaceFileMask,Workspace File Mask,NM NM N,N N N,NM NM N,N N N,{'jenkins.srcml.xml_identifiers'},Java
WriteContext,Write Context,NM N,N N,NM N,V N,{'grpc.srcml.xml_identifiers'},C++
WSDLSSolver,WSDLS Solver,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
