TYPE,IDENTIFIER,GRAMMAR_PATTERN,WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,FLAIR_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE,ID
AltAndContextConfigEqualityComparator,Alt And Context Config Equality Comparator,N CJ NM NM NM N,Equality,NM,N,N,N,4,6,1,2,NM,{'antlr4.srcml.xml_identifiers'},272,704
AltAndContextConfigEqualityComparator,Alt And Context Config Equality Comparator,N CJ NM NM NM N,Comparator,N,N,N,N,5,6,2,2,N,{'antlr4.srcml.xml_identifiers'},272,705
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,Android,NM,N,N,N,0,5,0,2,NM,{'mockito.srcml.xml_identifiers'},273,706
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,Byte,NM,N,N,N,1,5,1,2,NM,{'mockito.srcml.xml_identifiers'},273,707
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,Buddy,NM,N,N,N,2,5,1,2,NM,{'mockito.srcml.xml_identifiers'},273,708
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,Mock,NM,NM,NM,N,3,5,1,2,NM,{'mockito.srcml.xml_identifiers'},273,709
AndroidByteBuddyMockMaker,Android Byte Buddy Mock Maker,NM NM NM NM N,Maker,N,N,N,N,4,5,2,2,N,{'mockito.srcml.xml_identifiers'},273,710
ApplyRewriter,Apply Rewriter,NM N,Apply,NM,N,V,V,0,2,0,2,NM,{'swift.srcml.xml_identifiers'},274,711
ApplyRewriter,Apply Rewriter,NM N,Rewriter,N,N,N,N,1,2,2,2,N,{'swift.srcml.xml_identifiers'},274,712
ArabicSegmenter,Arabic Segmenter,NM N,Arabic,NM,NM,NM,NM,0,2,0,2,NM,{'corenlp.srcml.xml_identifiers'},275,713
ArabicSegmenter,Arabic Segmenter,NM N,Segmenter,N,N,N,N,1,2,2,2,N,{'corenlp.srcml.xml_identifiers'},275,714
AreaInfoDialog_t,Area Info Dialog t,NM NM NM N,Area,NM,N,N,N,0,4,0,2,NM,{'gimp.srcml.xml_identifiers.idents'},276,715
AreaInfoDialog_t,Area Info Dialog t,NM NM NM N,Info,NM,N,N,N,1,4,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},276,716
AreaInfoDialog_t,Area Info Dialog t,NM NM NM N,Dialog,NM,N,N,N,2,4,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},276,717
AreaInfoDialog_t,Area Info Dialog t,NM NM NM N,t,N,N,N,N,3,4,2,2,N,{'gimp.srcml.xml_identifiers.idents'},276,718
AresDnsResolver,Ares Dns Resolver,NM NM N,Ares,NM,N,N,NPL,0,3,0,2,NM,{'grpc.srcml.xml_identifiers'},277,719
AresDnsResolver,Ares Dns Resolver,NM NM N,Dns,NM,N,N,N,1,3,1,2,NM,{'grpc.srcml.xml_identifiers'},277,720
AresDnsResolver,Ares Dns Resolver,NM NM N,Resolver,N,N,N,N,2,3,2,2,N,{'grpc.srcml.xml_identifiers'},277,721
ArrayCountPropagation,Array Count Propagation,NM NM N,Array,NM,N,N,N,0,3,0,2,NM,{'swift.srcml.xml_identifiers'},278,722
ArrayCountPropagation,Array Count Propagation,NM NM N,Count,NM,N,N,N,1,3,1,2,NM,{'swift.srcml.xml_identifiers'},278,723
ArrayCountPropagation,Array Count Propagation,NM NM N,Propagation,N,N,N,N,2,3,2,2,N,{'swift.srcml.xml_identifiers'},278,724
Attribute,Attribute,N,Attribute,N,N,N,V,0,1,0,2,N,{'openFrameworks.srcml.xml_identifiers'},279,725
BackgroundParserPrivate,Background Parser Private,NM N NM,Background,NM,N,N,N,0,3,0,2,NM,{'kdevelop.srcml.xml_identifiers'},280,726
BackgroundParserPrivate,Background Parser Private,NM N NM,Parser,NM,N,N,N,1,3,1,2,N,{'kdevelop.srcml.xml_identifiers'},280,727
BackgroundParserPrivate,Background Parser Private,NM N NM,Private,N,N,NM,NM,2,3,2,2,NM,{'kdevelop.srcml.xml_identifiers'},280,728
BaseLoaderCallback,Base Loader Callback,NM NM N,Base,NM,NM,N,N,0,3,0,2,NM,{'opencv.srcml.xml_identifiers'},281,729
BaseLoaderCallback,Base Loader Callback,NM NM N,Loader,NM,N,N,N,1,3,1,2,NM,{'opencv.srcml.xml_identifiers'},281,730
BaseLoaderCallback,Base Loader Callback,NM NM N,Callback,N,N,N,N,2,3,2,2,N,{'opencv.srcml.xml_identifiers'},281,731
BasicReplicationRequest,Basic Replication Request,NM NM N,Basic,NM,NM,NM,NM,0,3,0,2,NM,{'elasticsearch.srcml.xml_identifiers'},282,732
BasicReplicationRequest,Basic Replication Request,NM NM N,Replication,NM,N,N,N,1,3,1,2,NM,{'elasticsearch.srcml.xml_identifiers'},282,733
BasicReplicationRequest,Basic Replication Request,NM NM N,Request,N,N,N,N,2,3,2,2,N,{'elasticsearch.srcml.xml_identifiers'},282,734
BasketPayoff,Basket Payoff,NM N,Basket,NM,N,N,N,0,2,0,2,NM,{'QuantLib.srcml.xml_identifiers'},283,735
BasketPayoff,Basket Payoff,NM N,Payoff,N,N,N,N,1,2,2,2,N,{'QuantLib.srcml.xml_identifiers'},283,736
BinaryRule,Binary Rule,NM N,Binary,NM,NM,NM,NM,0,2,0,2,NM,{'corenlp.srcml.xml_identifiers'},284,737
BinaryRule,Binary Rule,NM N,Rule,N,N,N,N,1,2,2,2,N,{'corenlp.srcml.xml_identifiers'},284,738
btCollisionShape,bt Collision Shape,PRE NM N,bt,NM,N,N,P,0,3,0,2,PRE,{'bullet3.srcml.xml_identifiers'},285,739
btCollisionShape,bt Collision Shape,PRE NM N,Collision,NM,N,N,N,1,3,1,2,NM,{'bullet3.srcml.xml_identifiers'},285,740
btCollisionShape,bt Collision Shape,PRE NM N,Shape,N,N,N,N,2,3,2,2,N,{'bullet3.srcml.xml_identifiers'},285,741
class btDeformableContactConstraint,bt Deformable Contact Constraint,PRE NM NM N,bt,NM,N,P,P,0,4,0,2,PRE,{'bullet3.srcml.xml_identifiers'},286,742
class btDeformableContactConstraint,bt Deformable Contact Constraint,PRE NM NM N,Deformable,NM,NM,NM,NM,1,4,1,2,NM,{'bullet3.srcml.xml_identifiers'},286,743
class btDeformableContactConstraint,bt Deformable Contact Constraint,PRE NM NM N,Contact,NM,N,N,N,2,4,1,2,NM,{'bullet3.srcml.xml_identifiers'},286,744
class btDeformableContactConstraint,bt Deformable Contact Constraint,PRE NM NM N,Constraint,N,N,N,N,3,4,2,2,N,{'bullet3.srcml.xml_identifiers'},286,745
btMaterial,bt Material,PRE N,bt,NM,N,P,P,0,2,0,2,PRE,{'bullet3.srcml.xml_identifiers'},287,746
btMaterial,bt Material,PRE N,Material,N,N,N,N,1,2,2,2,N,{'bullet3.srcml.xml_identifiers'},287,747
BucketCollector,Bucket Collector,NM N,Bucket,NM,N,N,N,0,2,0,2,NM,{'elasticsearch.srcml.xml_identifiers'},288,748
BucketCollector,Bucket Collector,NM N,Collector,N,N,N,N,1,2,2,2,N,{'elasticsearch.srcml.xml_identifiers'},288,749
BuildWrapper,Build Wrapper,NM N,Build,NM,N,V,V,0,2,0,2,NM,{'jenkins.srcml.xml_identifiers'},289,750
BuildWrapper,Build Wrapper,NM N,Wrapper,N,N,N,N,1,2,2,2,N,{'jenkins.srcml.xml_identifiers'},289,751
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,C,NM,NM,N,N,0,5,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},290,752
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,Animated,NM,NM,NM,NM,1,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},290,753
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,Mesh,NM,N,N,N,2,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},290,754
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,Scene,NM,N,N,N,3,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},290,755
CAnimatedMeshSceneNode ,C Animated Mesh Scene Node,PRE NM NM NM N,Node,N,N,N,N,4,5,2,2,N,{'irrlicht.srcml.xml_identifiers'},290,756
CArchiveLoaderTAR ,C Archive Loader TAR,PRE NM N NM,C,NM,NM,N,N,0,4,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},291,757
CArchiveLoaderTAR ,C Archive Loader TAR,PRE NM N NM,Archive,NM,N,N,N,1,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},291,758
CArchiveLoaderTAR ,C Archive Loader TAR,PRE NM N NM,Loader,NM,N,N,N,2,4,1,2,N,{'irrlicht.srcml.xml_identifiers'},291,759
CArchiveLoaderTAR ,C Archive Loader TAR,PRE NM N NM,TAR,N,N,N,N,3,4,2,2,NM,{'irrlicht.srcml.xml_identifiers'},291,760
CAtBackgroundColor,C At Background Color,PRE NM NM N,C,NM,FAILURE,N,N,0,4,0,2,PRE,{'openFrameworks.srcml.xml_identifiers'},292,761
CAtBackgroundColor,C At Background Color,PRE NM NM N,At,NM,FAILURE,P,P,1,4,1,2,NM,{'openFrameworks.srcml.xml_identifiers'},292,762
CAtBackgroundColor,C At Background Color,PRE NM NM N,Background,NM,FAILURE,N,N,2,4,1,2,NM,{'openFrameworks.srcml.xml_identifiers'},292,763
CAtBackgroundColor,C At Background Color,PRE NM NM N,Color,N,FAILURE,N,N,3,4,2,2,N,{'openFrameworks.srcml.xml_identifiers'},292,764
CAtFont,C At Font,PRE NM N,C,NM,FAILURE,N,N,0,3,0,2,PRE,{'openFrameworks.srcml.xml_identifiers'},293,765
CAtFont,C At Font,PRE NM N,At,NM,FAILURE,P,P,1,3,1,2,NM,{'openFrameworks.srcml.xml_identifiers'},293,766
CAtFont,C At Font,PRE NM N,Font,N,FAILURE,N,N,2,3,2,2,N,{'openFrameworks.srcml.xml_identifiers'},293,767
CAtGrayScale,C At Grayscale,PRE NM N,C,NM,FAILURE,N,N,0,3,0,2,PRE,{'openFrameworks.srcml.xml_identifiers'},294,768
CAtGrayScale,C At Grayscale,PRE NM N,At,NM,FAILURE,P,P,1,3,1,2,NM,{'openFrameworks.srcml.xml_identifiers'},294,769
CAtGrayScale,C At Grayscale,PRE NM N,Grayscale,N,FAILURE,N,N,2,3,2,2,N,{'openFrameworks.srcml.xml_identifiers'},294,770
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,C,NM,NM,N,N,0,5,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},295,771
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,Burning,NM,NM,N,VBG,1,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},295,772
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,Shader,NM,N,N,N,2,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},295,773
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,Raster,NM,N,N,N,3,5,1,2,NM,{'irrlicht.srcml.xml_identifiers'},295,774
CBurningShader_Raster_Reference,C Burning Shader Raster Reference,PRE NM NM NM N,Reference,N,N,N,N,4,5,2,2,N,{'irrlicht.srcml.xml_identifiers'},295,775
CD3D9RenderTarget,C D3D9 Render Target,PRE NM NM N,C,NM,NM,N,N,0,4,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},296,776
CD3D9RenderTarget,C D3D9 Render Target,PRE NM NM N,D3D9,NM,N,N,D,1,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},296,777
CD3D9RenderTarget,C D3D9 Render Target,PRE NM NM N,Render,NM,N,VBP,N,2,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},296,778
CD3D9RenderTarget,C D3D9 Render Target,PRE NM NM N,Target,NM,N,N,N,3,4,2,2,N,{'irrlicht.srcml.xml_identifiers'},296,779
CFileReadCallBack,C File Read Callback,PRE NM NM N,C,NM,NM,N,N,0,4,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},297,780
CFileReadCallBack,C File Read Callback,PRE NM NM N,File,NM,N,N,N,1,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},297,781
CFileReadCallBack,C File Read Callback,PRE NM NM N,Read,NM,N,N,VBD,2,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},297,782
CFileReadCallBack,C File Read Callback,PRE NM NM N,Callback,N,N,N,N,3,4,2,2,N,{'irrlicht.srcml.xml_identifiers'},297,783
Chttp2Connector,C http2 Connector,PRE NM N,C,NM,NM,N,N,0,3,0,2,PRE,{'grpc.srcml.xml_identifiers'},298,784
Chttp2Connector,C http2 Connector,PRE NM N,http2,NM,N,N,N,1,3,1,2,NM,{'grpc.srcml.xml_identifiers'},298,785
Chttp2Connector,C http2 Connector,PRE NM N,Connector,NM,N,N,N,2,3,2,2,N,{'grpc.srcml.xml_identifiers'},298,786
CImage,C Image,PRE N,C,NM,NM,N,N,0,2,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},299,787
CImage,C Image,PRE N,Image,N,N,N,N,1,2,2,2,N,{'irrlicht.srcml.xml_identifiers'},299,788
CImageWriterJPG,C Image Writer JPG,PRE NM N NM,C,NM,NM,N,N,0,4,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},300,789
CImageWriterJPG,C Image Writer JPG,PRE NM N NM,Image,NM,N,N,N,1,4,1,2,NM,{'irrlicht.srcml.xml_identifiers'},300,790
CImageWriterJPG,C Image Writer JPG,PRE NM N NM,Writer,NM,N,N,N,2,4,1,2,N,{'irrlicht.srcml.xml_identifiers'},300,791
CImageWriterJPG,C Image Writer JPG,PRE NM N NM,JPG,N,N,N,N,3,4,2,2,NM,{'irrlicht.srcml.xml_identifiers'},300,792
CSkinnedMesh,C Skinned Mesh,PRE NM N,C,NM,NM,N,N,0,3,0,2,PRE,{'irrlicht.srcml.xml_identifiers'},301,793
CSkinnedMesh,C Skinned Mesh,PRE NM N,Skinned,NM,NM,VBD,VBN,1,3,1,2,NM,{'irrlicht.srcml.xml_identifiers'},301,794
CSkinnedMesh,C Skinned Mesh,PRE NM N,Mesh,N,N,N,N,2,3,2,2,N,{'irrlicht.srcml.xml_identifiers'},301,795
CacheStrategy,Cache Strategy,NM N,Cache,NM,N,N,N,0,2,0,2,NM,{'okhttp.srcml.xml_identifiers'},302,796
CacheStrategy,Cache Strategy,NM N,Strategy,N,N,N,N,1,2,2,2,N,{'okhttp.srcml.xml_identifiers'},302,797
CachedRegionTracker,Cached Region Tracker,NM NM N,Cached,NM,N,VBN,VBN,0,3,0,2,NM,{'Telegram.srcml.xml_identifiers'},303,798
CachedRegionTracker,Cached Region Tracker,NM NM N,Region,NM,N,N,N,1,3,1,2,NM,{'Telegram.srcml.xml_identifiers'},303,799
CachedRegionTracker,Cached Region Tracker,NM NM N,Tracker,N,N,N,N,2,3,2,2,N,{'Telegram.srcml.xml_identifiers'},303,800
CallErrorExtensions,Call Error Extensions,NM NM NPL,Call,NM,N,V,V,0,3,0,2,NM,{'grpc.srcml.xml_identifiers'},304,801
CallErrorExtensions,Call Error Extensions,NM NM NPL,Error,NM,N,N,N,1,3,1,2,NM,{'grpc.srcml.xml_identifiers'},304,802
CallErrorExtensions,Call Error Extensions,NM NM NPL,Extensions,N,N,NPL,NPL,2,3,2,2,NPL,{'grpc.srcml.xml_identifiers'},304,803
CameraData,Camera Data,NM N,Camera,NM,N,N,N,0,2,0,2,NM,{'irrlicht.srcml.xml_identifiers'},305,804
CameraData,Camera Data,NM N,Data,N,N,NPL,NPL,1,2,2,2,N,{'irrlicht.srcml.xml_identifiers'},305,805
CapletVarianceCurve,Caplet Variance Curve,NM NM N,Caplet,NM,N,N,N,0,3,0,2,NM,{'QuantLib.srcml.xml_identifiers'},306,806
CapletVarianceCurve,Caplet Variance Curve,NM NM N,Variance,NM,N,N,N,1,3,1,2,NM,{'QuantLib.srcml.xml_identifiers'},306,807
CapletVarianceCurve,Caplet Variance Curve,NM NM N,Curve,N,N,N,N,2,3,2,2,N,{'QuantLib.srcml.xml_identifiers'},306,808
CategoryFilterFactory,Category Filter Factory,NM NM N,Category,NM,N,N,N,0,3,0,2,NM,{'junit4.srcml.xml_identifiers'},307,809
CategoryFilterFactory,Category Filter Factory,NM NM N,Filter,NM,N,N,N,1,3,1,2,NM,{'junit4.srcml.xml_identifiers'},307,810
CategoryFilterFactory,Category Filter Factory,NM NM N,Factory,N,N,N,N,2,3,2,2,N,{'junit4.srcml.xml_identifiers'},307,811
CborXContent,Cbor X Content,NM NM N,Cbor,NM,N,N,N,0,3,0,2,NM,{'elasticsearch.srcml.xml_identifiers'},308,812
CborXContent,Cbor X Content,NM NM N,X,NM,NM,N,N,1,3,1,2,NM,{'elasticsearch.srcml.xml_identifiers'},308,813
CborXContent,Cbor X Content,NM NM N,Content,N,N,N,N,2,3,2,2,N,{'elasticsearch.srcml.xml_identifiers'},308,814
ChangeScroll,Change Scroll,V N,Change,NM,N,N,N,0,2,0,2,V,{'calligra.srcml.xml_identifiers'},309,815
ChangeScroll,Change Scroll,V N,Scroll,N,N,N,N,1,2,2,2,N,{'calligra.srcml.xml_identifiers'},309,816
ChapterTocFrame,Chapter Toc Frame,NM NM N,Chapter,NM,N,N,N,0,3,0,2,NM,{'Telegram.srcml.xml_identifiers'},310,817
ChapterTocFrame,Chapter Toc Frame,NM NM N,Toc,NM,N,N,N,1,3,1,2,NM,{'Telegram.srcml.xml_identifiers'},310,818
ChapterTocFrame,Chapter Toc Frame,NM NM N,Frame,N,N,N,N,2,3,2,2,N,{'Telegram.srcml.xml_identifiers'},310,819
ChildLocation,Child Location,NM N,Child,NM,N,N,N,0,2,0,2,NM,{'gimp.srcml.xml_identifiers.idents'},311,820
ChildLocation,Child Location,NM N,Location,N,N,N,N,1,2,2,2,N,{'gimp.srcml.xml_identifiers.idents'},311,821
ChineseTreebankParserParams,Chinese Treebank Parser Params,NM NM NM NPL,Chinese,NM,NM,N,NM,0,4,0,2,NM,{'corenlp.srcml.xml_identifiers'},312,822
ChineseTreebankParserParams,Chinese Treebank Parser Params,NM NM NM NPL,Treebank,NM,N,N,N,1,4,1,2,NM,{'corenlp.srcml.xml_identifiers'},312,823
ChineseTreebankParserParams,Chinese Treebank Parser Params,NM NM NM NPL,Parser,NM,N,N,N,2,4,1,2,NM,{'corenlp.srcml.xml_identifiers'},312,824
ChineseTreebankParserParams,Chinese Treebank Parser Params,NM NM NM NPL,Params,N,N,NPL,NPL,3,4,2,2,NPL,{'corenlp.srcml.xml_identifiers'},312,825
CipherSuite,Cipher Suite,NM N,Cipher,NM,N,N,N,0,2,0,2,NM,{'okhttp.srcml.xml_identifiers'},313,826
CipherSuite,Cipher Suite,NM N,Suite,N,N,N,N,1,2,2,2,N,{'okhttp.srcml.xml_identifiers'},313,827
ClassLoaders,Class Loaders,NM NPL,Class,NM,N,N,N,0,2,0,2,NM,{'mockito.srcml.xml_identifiers'},314,828
ClassLoaders,Class Loaders,NM NPL,Loaders,N,N,NPL,NPL,1,2,2,2,NPL,{'mockito.srcml.xml_identifiers'},314,829
ClauseMatrix,Clause Matrix,NM N,Clause,NM,N,N,N,0,2,0,2,NM,{'swift.srcml.xml_identifiers'},315,830
ClauseMatrix,Clause Matrix,NM N,Matrix,N,N,N,N,1,2,2,2,N,{'swift.srcml.xml_identifiers'},315,831
Clock,Clock,N,Clock,N,N,N,N,0,1,0,2,N,{'openFrameworks.srcml.xml_identifiers'},316,832
ClusterUpdateSettingsResponse,Cluster Update Settings Response,NM NM NM N,Cluster,NM,N,N,N,0,4,0,2,NM,{'elasticsearch.srcml.xml_identifiers'},317,833
ClusterUpdateSettingsResponse,Cluster Update Settings Response,NM NM NM N,Update,NM,N,VBP,N,1,4,1,2,NM,{'elasticsearch.srcml.xml_identifiers'},317,834
ClusterUpdateSettingsResponse,Cluster Update Settings Response,NM NM NM N,Settings,NM,N,NPL,NPL,2,4,1,2,NM,{'elasticsearch.srcml.xml_identifiers'},317,835
ClusterUpdateSettingsResponse,Cluster Update Settings Response,NM NM NM N,Response,N,N,N,N,3,4,2,2,N,{'elasticsearch.srcml.xml_identifiers'},317,836
CmdOutputOperationType,Cmd Output Operation Type,NM NM NM N,Cmd,NM,N,N,N,0,4,0,2,NM,{'ogre.srcml.xml_identifiers'},318,837
CmdOutputOperationType,Cmd Output Operation Type,NM NM NM N,Output,NM,N,N,N,1,4,1,2,NM,{'ogre.srcml.xml_identifiers'},318,838
CmdOutputOperationType,Cmd Output Operation Type,NM NM NM N,Operation,NM,N,N,N,2,4,1,2,NM,{'ogre.srcml.xml_identifiers'},318,839
CmdOutputOperationType,Cmd Output Operation Type,NM NM NM N,Type,N,N,N,N,3,4,2,2,N,{'ogre.srcml.xml_identifiers'},318,840
CodeGeneratorPrivate,Code Generator Private,NM N NM,Code,NM,N,N,N,0,3,0,2,NM,{'kdevelop.srcml.xml_identifiers'},319,841
CodeGeneratorPrivate,Code Generator Private,NM N NM,Generator,NM,N,N,N,1,3,1,2,N,{'kdevelop.srcml.xml_identifiers'},319,842
CodeGeneratorPrivate,Code Generator Private,NM N NM,Private,N,N,NM,NM,2,3,2,2,NM,{'kdevelop.srcml.xml_identifiers'},319,843
ColorMap ,Color Map,NM N,Color,NM,NM,N,N,0,2,0,2,NM,{'opencv.srcml.xml_identifiers'},320,844
ColorMap ,Color Map,NM N,Map,N,N,N,N,1,2,2,2,N,{'opencv.srcml.xml_identifiers'},320,845
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Combine,NM,FAILURE,V,V,0,10,0,2,NM,{'gimp.srcml.xml_identifiers.idents'},321,846
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Paint,NM,FAILURE,N,N,1,10,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},321,847
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Mask,NM,FAILURE,N,N,2,10,1,2,N,{'gimp.srcml.xml_identifiers.idents'},321,848
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,To,NM,FAILURE,P,P,3,10,1,2,P,{'gimp.srcml.xml_identifiers.idents'},321,849
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Canvas,NM,FAILURE,N,N,4,10,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},321,850
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Buffer,NM,FAILURE,N,N,5,10,1,2,N,{'gimp.srcml.xml_identifiers.idents'},321,851
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,To,NM,FAILURE,P,P,6,10,1,2,P,{'gimp.srcml.xml_identifiers.idents'},321,852
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Paint,NM,FAILURE,V,V,7,10,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},321,853
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Buf,NM,FAILURE,N,N,8,10,1,2,NM,{'gimp.srcml.xml_identifiers.idents'},321,854
CombinePaintMaskToCanvasBufferToPaintBufAlpha,Combine Paint Mask To Canvas Buffer To Paint Buf Alpha,NM NM N P NM N P NM NM N,Alpha,N,FAILURE,N,N,9,10,2,2,N,{'gimp.srcml.xml_identifiers.idents'},321,855
Command_t,Command t,NM N,Command,NM,N,V,N,0,2,0,2,NM,{'gimp.srcml.xml_identifiers.idents'},322,856
Command_t,Command t,NM N,t,N,N,N,N,1,2,2,2,N,{'gimp.srcml.xml_identifiers.idents'},322,857
CompMask,Comp Mask,NM N,Comp,NM,N,N,N,0,2,0,2,NM,{'gimp.srcml.xml_identifiers.idents'},323,858
CompMask,Comp Mask,NM N,Mask,N,N,N,N,1,2,2,2,N,{'gimp.srcml.xml_identifiers.idents'},323,859
CompilerItem,Compiler Item,NM N,Compiler,NM,N,N,N,0,2,0,2,NM,{'kdevelop.srcml.xml_identifiers'},324,860
CompilerItem,Compiler Item,NM N,Item,N,N,N,N,1,2,2,2,N,{'kdevelop.srcml.xml_identifiers'},324,861
ConfigureTimeouts,Configure Timeouts,NM NPL,Configure,NM,N,V,N,0,2,0,2,NM,{'okhttp.srcml.xml_identifiers'},325,862
ConfigureTimeouts,Configure Timeouts,NM NPL,Timeouts,N,N,NPL,NPL,1,2,2,2,NPL,{'okhttp.srcml.xml_identifiers'},325,863
ConstParameterFloat,Const Parameter Float,NM NM N,Const,NM,N,N,N,0,3,0,2,NM,{'ogre.srcml.xml_identifiers'},326,864
ConstParameterFloat,Const Parameter Float,NM NM N,Parameter,NM,N,N,N,1,3,1,2,NM,{'ogre.srcml.xml_identifiers'},326,865
ConstParameterFloat,Const Parameter Float,NM NM N,Float,N,N,N,N,2,3,2,2,N,{'ogre.srcml.xml_identifiers'},326,866
ContainerTabBar,Container Tab Bar,NM NM N,Container,NM,N,N,N,0,3,0,2,NM,{'kdevelop.srcml.xml_identifiers'},327,867
ContainerTabBar,Container Tab Bar,NM NM N,Tab,NM,N,N,N,1,3,1,2,NM,{'kdevelop.srcml.xml_identifiers'},327,868
ContainerTabBar,Container Tab Bar,NM NM N,Bar,N,N,N,N,2,3,2,2,N,{'kdevelop.srcml.xml_identifiers'},327,869
ContentPath,Content Path,NM N,Content,NM,NM,N,N,0,2,0,2,NM,{'elasticsearch.srcml.xml_identifiers'},328,870
ContentPath,Content Path,NM N,Path,N,N,N,N,1,2,2,2,N,{'elasticsearch.srcml.xml_identifiers'},328,871
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,Context,NM,N,N,N,0,6,0,2,NM,{'antlr4.srcml.xml_identifiers'},329,872
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,Token,NM,NM,NM,N,1,6,1,2,NM,{'antlr4.srcml.xml_identifiers'},329,873
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,List,NM,N,N,N,2,6,1,2,NM,{'antlr4.srcml.xml_identifiers'},329,874
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,Indexed,NM,N,VBD,VBN,3,6,1,2,NM,{'antlr4.srcml.xml_identifiers'},329,875
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,Getter,NM,N,N,N,4,6,1,2,NM,{'antlr4.srcml.xml_identifiers'},329,876
ContextTokenListIndexedGetterDecl,Context Token List Indexed Getter Decl,NM NM NM NM NM N,Decl,N,N,N,N,5,6,2,2,N,{'antlr4.srcml.xml_identifiers'},329,877
ContextualizeClosures,Contextualize Closures,V NPL,Contextualize,NM,N,V,V,0,2,0,2,V,{'swift.srcml.xml_identifiers'},330,878
ContextualizeClosures,Contextualize Closures,V NPL,Closures,N,N,NPL,NPL,1,2,2,2,NPL,{'swift.srcml.xml_identifiers'},330,879
